,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
24444,24444,28001,2019,3,1,24.07,-98.39,33.38406,19.56903,33.38406,19.56903,24.8801,24.8801
24451,24451,28002,2019,3,1,22.99,-99.15,33.15216,17.57526,33.15216,17.57526,23.6232,23.6232
24458,24458,28003,2019,3,1,22.93,-98.08,31.11346,20.23346,31.11346,20.23346,24.18921,24.18921
24465,24465,28004,2019,3,1,22.4,-97.93,28.9538,21.20233,28.9538,21.20233,24.2049,24.2049
24472,24472,28005,2019,3,1,22.47,-99.08,33.47482,18.46918,33.47482,18.46918,24.40912,24.40912
24479,24479,28006,2019,3,1,22.62,-98.17,30.86444,20.74011,30.86444,20.74011,24.5473,24.5473
24486,24486,28007,2019,3,1,24.4,-99.11,33.50763,17.84906,33.50763,17.84906,24.45108,24.45108
24493,24493,28008,2019,3,1,22.83,-99.05,33.43689,18.28699,33.43689,18.28699,24.23495,24.23495
24500,24500,28009,2019,3,1,24.95,-98.8,33.82541,18.92599,33.82541,18.92599,25.20938,25.20938
24507,24507,28010,2019,3,1,23.44,-99.75,30.69891,13.09186,30.69891,13.09186,20.28217,20.28217
24514,24514,28011,2019,3,1,22.85,-99.49,32.76056,16.77222,32.76056,16.77222,22.95746,22.95746
24521,24521,28012,2019,3,1,22.72,-98.97,33.71207,18.9194,33.71207,18.9194,24.79901,24.79901
24528,24528,28014,2019,3,1,26.32,-98.85,32.10031,16.69153,32.10031,16.69153,23.31702,23.31702
24535,24535,28015,2019,3,1,23.26,-98.83,33.66312,18.259,33.66312,18.259,24.47769,24.47769
24542,24542,28016,2019,3,1,22.54,-98.15,30.73624,20.8576,30.73624,20.8576,24.59378,24.59378
24549,24549,28017,2019,3,1,22.71,-98.85,33.91617,19.37457,33.91617,19.37457,25.19666,25.19666
24556,24556,28019,2019,3,1,24.75,-98.54,33.4364,19.05505,33.4364,19.05505,24.92215,24.92215
24563,24563,28020,2019,3,1,23.94,-98.94,34.30499,18.42133,34.30499,18.42133,25.05609,25.05609
24570,24570,28021,2019,3,1,24.39,-99.01,33.77664,18.4035,33.77664,18.4035,24.80347,24.80347
24577,24577,28022,2019,3,1,23.61,-99.2,32.46024,15.68866,32.46024,15.68866,22.43646,22.43646
24584,24584,28023,2019,3,1,22.84,-99.19,33.08868,17.45895,33.08868,17.45895,23.52936,23.52936
24591,24591,28024,2019,3,1,23.63,-98.37,32.61505,19.27805,32.61505,19.27805,24.33353,24.33353
24598,24598,28025,2019,3,1,22.4,-98.02,29.86957,20.98691,29.86957,20.98691,24.39276,24.39276
24605,24605,28027,2019,3,1,24.89,-98.95,33.76071,18.72852,33.76071,18.72852,25.12476,25.12476
24612,24612,28028,2019,3,1,24.08,-99.13,33.49176,17.47678,33.49176,17.47678,24.10117,24.10117
24619,24619,28029,2019,3,1,22.92,-98.35,32.07227,19.90674,32.07227,19.90674,24.46082,24.46082
24626,24626,28030,2019,3,1,24.44,-98.49,33.33429,19.22247,33.33429,19.22247,24.81134,24.81134
24633,24633,28031,2019,3,1,22.55,-99.09,33.43658,18.3324,33.43658,18.3324,24.30203,24.30203
24640,24640,28032,2019,3,1,22.57,-99.02,33.63974,18.76065,33.63974,18.76065,24.68112,24.68112
24647,24647,28033,2019,3,1,23.26,-98.61,33.50543,18.55103,33.50543,18.55103,24.54007,24.54007
24654,24654,28034,2019,3,1,23.47,-99.34,32.15582,15.18668,32.15582,15.18668,21.94101,21.94101
24661,24661,28035,2019,3,1,22.81,-98.42,32.41705,19.91931,32.41705,19.91931,24.71271,24.71271
24668,24668,28036,2019,3,1,23.92,-99.0,34.03149,18.06995,34.03149,18.06995,24.70316,24.70316
24675,24675,28037,2019,3,1,24.25,-99.43,32.90421,16.74167,32.90421,16.74167,23.52908,23.52908
24682,24682,28039,2019,3,1,23.4,-99.37,32.21115,15.32971,32.21115,15.32971,22.02533,22.02533
